TireProductionID,timestamp,batch_id,recipe_id,press_id,machine_id,shift,ambient_temp_c,ambient_humidity_pct,compound_batch_age_hr,mixer_energy_kwh,cure_temp_avg,cure_temp_std,cure_pressure_avg,cure_time_sec,tread_thickness_mm,sidewall_thickness_mm,tire_weight_kg,uniformity_rfv,uniformity_lfv,runout_mm,balance_g,visual_score,defect_flag,defect_type,defect_probability_true
TIRE_0000001,2025-06-27 07:58:00,BATCH_00386,RCP_004,PRESS_06,MACH_08,B,22.4,50.06,,108.27,172.51,2.57,18.03,976.0,7.47,5.26,10.7,11.18,6.93,0.57,25.94,4,0,OK,0.0797
TIRE_0000002,2025-02-19 20:11:00,BATCH_00180,RCP_016,PRESS_05,MACH_01,C,29.1,52.32,3.06,135.14,183.72,2.03,18.7,846.0,8.09,5.15,12.36,9.74,10.74,0.58,23.92,4,0,OK,0.0731
TIRE_0000003,2025-02-13 04:09:00,BATCH_00011,RCP_016,PRESS_04,MACH_07,A,32.75,51.22,21.88,115.81,177.85,2.84,17.61,899.0,8.38,5.75,11.41,9.59,8.83,0.79,26.73,3,0,OK,0.0835
TIRE_0000004,2025-01-21 03:00:00,BATCH_00061,RCP_028,PRESS_01,MACH_03,C,25.44,37.7,,131.16,173.21,1.99,18.49,837.0,7.54,5.69,11.49,,5.93,0.62,23.83,5,0,OK,0.0407
TIRE_0000005,2025-06-03 05:55:00,BATCH_00359,RCP_003,PRESS_10,MACH_08,A,15.12,81.96,35.85,136.87,172.41,2.39,19.78,1000.0,8.4,,11.77,6.36,8.08,0.61,6.62,4,0,OK,0.1207
TIRE_0000006,2025-04-07 04:16:00,BATCH_00037,RCP_026,PRESS_11,MACH_04,B,19.26,44.16,23.11,126.5,168.84,2.63,20.39,958.0,7.62,4.76,11.54,10.92,10.18,1.16,18.99,4,0,OK,0.1297
TIRE_0000007,2025-03-26 15:52:00,BATCH_00098,RCP_021,PRESS_03,MACH_03,C,23.31,52.16,30.14,74.77,176.09,1.58,17.59,840.0,7.82,5.71,12.27,9.11,10.88,0.84,32.8,4,0,OK,0.0578
TIRE_0000008,2025-01-18 14:52:00,BATCH_00291,RCP_025,PRESS_03,MACH_02,C,23.97,58.84,4.58,112.34,172.45,2.25,17.73,943.0,7.04,4.49,11.21,9.51,7.8,0.84,20.86,5,0,OK,0.0524
TIRE_0000009,2025-03-08 02:45:00,BATCH_00296,RCP_016,PRESS_04,MACH_07,B,26.16,64.94,11.78,151.64,173.41,2.08,16.76,987.0,8.24,4.97,12.02,12.05,10.1,1.05,31.74,3,0,OK,0.152
TIRE_0000010,2025-02-15 09:07:00,BATCH_00384,RCP_008,PRESS_03,MACH_02,A,28.42,55.86,22.91,138.73,175.95,,15.21,700.0,7.07,5.37,11.44,7.54,6.76,1.13,13.8,5,0,OK,0.081
