TireProductionID,timestamp,batch_id,recipe_id,press_id,machine_id,shift,ambient_temp_c,ambient_humidity_pct,compound_batch_age_hr,mixer_energy_kwh,cure_temp_avg,cure_temp_std,cure_pressure_avg,cure_time_sec,tread_thickness_mm,sidewall_thickness_mm,tire_weight_kg,uniformity_rfv,uniformity_lfv,runout_mm,balance_g,visual_score,defect_flag,defect_type,defect_probability_true
TIRE_0000001,2025-06-27 7:58,BATCH_00386,RCP_004,PRESS_06,MACH_08,Evening Shift,22.4,50.06,18.05,108.27,172.51,2.57,18.03,976.0,7.47,5.26,10.7,11.18,6.93,0.57,25.94,4,0,OK,0.09988962852336698
TIRE_0000002,2025-02-19 20:11,BATCH_00180,RCP_016,PRESS_05,MACH_01,Night Shift,29.1,52.32,3.06,135.14,183.72,2.03,18.7,846.0,8.09,5.15,12.36,9.74,10.74,0.58,23.92,4,0,OK,0.23817143353837988
TIRE_0000004,2025-01-21 3:00,BATCH_00061,RCP_028,PRESS_01,MACH_03,Night Shift,25.44,37.7,18.05,131.16,173.21,1.99,18.49,837.0,7.54,5.69,11.49,9.86,5.93,0.62,23.83,5,0,OK,0.1856785460347372
TIRE_0000005,2025-06-03 5:55,BATCH_00359,RCP_003,PRESS_10,MACH_08,Day Shift,15.12,81.96,35.85,136.87,172.41,2.39,19.78,1000.0,8.4,5.2,11.77,6.36,8.08,0.61,6.62,4,0,OK,0.1536780362072888
TIRE_0000007,2025-03-26 15:52,BATCH_00098,RCP_021,PRESS_03,MACH_03,Night Shift,23.31,52.16,30.14,74.77,176.09,1.58,17.59,840.0,7.82,5.71,12.27,9.11,10.88,0.84,32.8,4,0,OK,0.047444473706184764
TIRE_0000009,2025-03-08 2:45,BATCH_00296,RCP_016,PRESS_04,MACH_07,Evening Shift,26.16,64.94,11.78,151.64,173.41,2.08,16.76,987.0,8.24,4.97,12.02,12.05,10.1,1.05,31.74,3,0,OK,0.047438684880688635
TIRE_0000011,2025-05-11 7:39,BATCH_00260,RCP_018,PRESS_04,MACH_04,Evening Shift,13.26,67.32,22.63,97.36,176.49,2.24,18.42,979.0,7.85,5.05,11.85,12.78,10.74,1.27,20.47,4,0,OK,0.023940066920367868
TIRE_0000013,2025-05-18 2:28,BATCH_00009,RCP_007,PRESS_09,MACH_08,Night Shift,13.26,77.7,19.5,122.07,174.54,2.11,19.97,1010.0,7.71,5.17,10.93,11.01,10.39,0.87,18.53,3,0,OK,0.21788227498598445
TIRE_0000014,2025-03-18 5:30,BATCH_00231,RCP_014,PRESS_03,MACH_02,Evening Shift,26.41,53.05,11.44,140.0,181.4,2.66,20.67,1011.0,8.34,5.45,11.5,11.69,6.05,0.71,31.01,5,0,OK,0.15426760281837013
TIRE_0000015,2025-01-31 1:51,BATCH_00299,RCP_009,PRESS_10,MACH_03,Day Shift,25.41,45.44,11.14,140.11,175.27,2.07,18.49,946.0,8.86,4.39,10.86,8.63,7.81,0.99,22.23,4,0,OK,0.17993741867105092
TIRE_0000016,2025-04-10 8:42,BATCH_00003,RCP_020,PRESS_07,MACH_06,Night Shift,19.32,53.84,6.51,91.37,173.79,1.95,16.12,962.0,8.14,5.33,10.95,11.27,6.39,1.06,20.2,3,0,OK,0.014940278630992588
TIRE_0000018,2025-04-24 19:55,BATCH_00176,RCP_014,PRESS_06,MACH_07,Night Shift,17.34,45.16,27.67,145.41,173.25,1.7,18.21,967.0,8.0,5.01,12.21,9.82,8.99,0.74,18.88,4,0,OK,0.24277836451887863
TIRE_0000019,2025-03-25 13:47,BATCH_00096,RCP_009,PRESS_06,MACH_02,Day Shift,20.8,52.83,38.04,132.67,175.33,1.78,16.1,1020.0,7.16,4.97,10.73,7.52,7.68,0.26,22.58,5,0,OK,0.2097862337921012
TIRE_0000020,2025-05-01 18:37,BATCH_00232,RCP_026,PRESS_02,MACH_06,Evening Shift,17.26,71.6,20.93,99.61,176.19,1.05,17.74,997.0,8.19,5.86,11.77,10.5,11.72,0.82,13.36,4,1,Separation,0.8009613865627863
TIRE_0000021,2025-02-04 4:57,BATCH_00116,RCP_018,PRESS_04,MACH_07,Day Shift,30.22,60.04,27.6,98.16,178.49,1.08,18.69,1001.0,8.09,5.34,12.19,11.4,2.63,0.82,19.07,3,0,OK,0.053637992129704146
TIRE_0000023,2025-03-17 17:35,BATCH_00206,RCP_008,PRESS_06,MACH_08,Day Shift,27.88,49.56,20.9,155.28,180.18,1.66,18.42,945.0,7.8,5.77,11.39,13.97,7.67,1.43,25.04,5,0,OK,0.054017082364824116
TIRE_0000024,2025-01-28 9:17,BATCH_00040,RCP_019,PRESS_12,MACH_07,Day Shift,27.98,49.67,21.3,130.36,172.48,1.24,19.0,891.0,8.0,4.96,11.02,8.42,5.58,0.89,9.09,5,0,OK,0.08301813831028905
TIRE_0000025,2025-06-17 15:38,BATCH_00216,RCP_009,PRESS_10,MACH_01,Evening Shift,15.5,45.83,0.0,111.82,172.6,2.88,19.84,744.0,8.34,5.37,11.74,12.73,6.71,1.44,13.64,5,0,OK,0.13594154359173707
TIRE_0000026,2025-05-31 16:11,BATCH_00307,RCP_010,PRESS_05,MACH_01,Night Shift,22.11,70.02,16.54,112.68,174.4,1.38,16.99,846.0,8.05,5.45,10.8,9.3,7.09,0.92,18.81,3,0,OK,0.11366680447410778
TIRE_0000027,2025-04-26 3:58,BATCH_00297,RCP_026,PRESS_11,MACH_05,Night Shift,18.31,64.34,20.39,143.09,171.05,2.71,19.16,921.0,8.69,5.34,11.8,9.79,7.55,0.93,17.23,4,0,OK,0.07989499364753005
TIRE_0000029,2025-02-21 14:22,BATCH_00247,RCP_023,PRESS_11,MACH_01,Night Shift,24.67,48.53,22.5,117.31,170.36,2.25,17.46,835.0,7.47,4.97,11.89,8.6,8.93,0.68,20.4,4,0,OK,0.15684469473337107
TIRE_0000030,2025-04-06 2:26,BATCH_00149,RCP_025,PRESS_09,MACH_08,Evening Shift,21.48,66.64,16.36,114.52,168.52,2.09,17.36,928.0,7.71,5.35,10.81,12.09,5.76,0.76,36.25,5,0,OK,0.04347852655649004
TIRE_0000031,2025-06-01 22:41,BATCH_00303,RCP_001,PRESS_03,MACH_07,Day Shift,15.36,56.01,21.14,108.64,176.31,1.83,17.37,1008.0,8.29,5.81,12.61,7.8,8.01,0.5,11.64,4,0,OK,0.08011471564845235
TIRE_0000033,2025-06-28 2:31,BATCH_00256,RCP_005,PRESS_07,MACH_07,Night Shift,21.06,34.48,25.69,139.02,176.76,2.44,20.47,885.0,7.93,5.48,11.5,7.79,8.68,0.94,18.55,5,0,OK,0.097926842390486
TIRE_0000034,2025-01-10 19:01,BATCH_00275,RCP_013,PRESS_01,MACH_01,Evening Shift,25.94,56.46,4.03,130.53,172.54,2.65,18.94,938.0,8.35,5.05,11.71,11.93,7.24,0.76,11.2,4,0,OK,0.11945679621208861
TIRE_0000035,2025-04-19 4:02,BATCH_00346,RCP_008,PRESS_06,MACH_05,Day Shift,17.31,44.19,22.53,111.6,170.3,2.73,19.15,987.0,7.43,5.16,11.4,9.41,8.96,0.65,23.06,5,0,OK,0.19844223073432327
TIRE_0000036,2025-02-09 14:56,BATCH_00388,RCP_025,PRESS_03,MACH_04,Evening Shift,30.46,33.67,34.04,117.36,169.75,1.63,17.03,836.0,6.88,5.01,10.35,8.01,6.18,0.58,34.02,5,0,OK,0.05792170771800634
TIRE_0000037,2025-03-21 13:31,BATCH_00182,RCP_005,PRESS_02,MACH_02,Evening Shift,23.63,53.05,34.97,95.89,174.98,2.33,20.68,934.0,7.76,5.21,11.32,8.69,7.74,0.87,12.35,4,0,OK,0.13341626521926678
TIRE_0000039,2025-03-07 1:34,BATCH_00185,RCP_015,PRESS_06,MACH_06,Night Shift,27.59,49.89,6.77,131.72,171.71,3.73,19.29,912.0,7.11,4.96,10.74,8.11,11.51,0.87,21.11,4,0,OK,0.1521794965268902
TIRE_0000040,2025-01-05 6:45,BATCH_00131,RCP_017,PRESS_02,MACH_05,Day Shift,24.88,61.66,17.05,109.84,172.23,2.27,19.33,992.0,8.06,5.45,11.91,8.52,5.21,1.2,20.42,3,0,OK,0.021148099052799456
TIRE_0000041,2025-03-18 17:30,BATCH_00345,RCP_028,PRESS_11,MACH_08,Day Shift,23.2,51.92,17.72,119.52,181.29,2.42,19.84,1112.0,7.84,5.38,11.09,9.57,8.6,1.06,21.65,5,0,OK,0.1558107644563452
TIRE_0000042,2025-04-16 11:26,BATCH_00105,RCP_024,PRESS_04,MACH_01,Night Shift,17.96,49.56,31.01,132.96,179.15,3.86,16.01,927.0,7.52,4.86,11.22,9.0,9.61,0.84,22.55,5,1,Crack,0.79092578968495
